Customer Name,Customer ID,Order ID Distinct Count,Total Total Price($)
Aaron Adams,c02db962-2a52-450f-bde5-eaad5cb438e8,1,175
Aaron Adams,,1,175
Aaron Bailey,f1d3cd3f-518b-4438-b11b-a1303d936099,1,268
Aaron Bailey,,1,268
Aaron Stone,e84f2a89-6dad-4af3-adce-226b11ad6b38,1,120
Aaron Stone,,1,120
Abigail Sharp,52ae79b3-3758-4daa-b159-6942e1b88018,1,656
Abigail Sharp,,1,656
Adam Bell,55a5c2fb-ca8c-4b83-9c8e-7985c9ca4c25,1,201
Adam Bell,,1,201
Adam Gonzalez,ebffee5f-0936-49e2-ae67-0a2170d06b38,1,85
Adam Gonzalez,,1,85
Adam Lee,8cb0fb41-35d1-41b7-a64a-c75391e7810f,1,159
Adam Lee,,1,159
Adam Mckenzie,9b44dfb3-b0b3-44a8-834e-f50fb5a706d6,1,356
Adam Mckenzie,,1,356
Adam Pearson,539d874d-a00f-49d3-b6f1-c02832d7d01b,1,44
Adam Pearson,,1,44
Adam Stephens,0b5ed823-6536-4a92-8202-33008020c7c4,1,24
Adam Stephens,,1,24
Adrian Summers,92f57ceb-ccae-4f2f-8f96-0640b3b71a4b,1,228
Adrian Summers,,1,228
Adriana Powell,42bee8c5-a98f-4987-aeec-e160fb24c964,1,59
Adriana Powell,,1,59
Alan Rasmussen,e5be59c2-2616-4466-a87e-494a694f1b34,1,20
Alan Rasmussen,,1,20
Alexa Little,ddd4662a-eabd-4d3d-92b4-d0eba4ab090c,1,331
Alexa Little,,1,331
Alexander Contreras,f7261ec6-8fe9-4268-927b-d191d7e23f54,1,62
Alexander Contreras,,1,62
Alexander Harding,bdfa9e76-cc9d-4223-8b46-6edfe0197f3e,1,166
Alexander Harding,,1,166
Alexander Jennings,8d99b8f9-0e7e-4715-bc3a-44e08ff4f6e4,1,221
Alexander Jennings,,1,221
Alexander Wilson,ff2eda18-e6e2-4359-acc5-1e1467e28237,1,59
Alexander Wilson,,1,59
Alexandra Black,4b11d6af-89e5-41a3-a7b8-25d2578c31b4,1,386
Alexandra Black,,1,386
Alexandra Singh,db9b2b80-cabf-4b2f-b2fe-ec3f6d5a33d7,1,224
Alexandra Singh,,1,224
Alexandra Wiley,9b63c24f-f41c-456e-a859-2fe8596b1ace,1,182
